"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
Education,E-2-09,"E2.1 Curricula","Percentage of affected schools/learning spaces promoting health and hygiene including sexual and reproductive health and HIV AIDS","Schools with health programs","Total number of affected schools/learning spaces","by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"Number of affected schools/learning spaces promoting health and hygiene including sexual and reproductive health and HIV AIDS",,"C3 Protection and services monitoring and coordination, R4 Governance, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC9 Community-based child protection mechanisms (CBCPM), PG1 Developing Referral Pathway for Survivors, PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), P5 Vulnerability, W1.2 Hygiene Practices, W4 Vector Control, W6 Drainage, W7 Aggravating Factors",,INEE,,"Specific to Country","Baseline, Outcome, Output","Schools/Learning Spaces",Facility
Education,E-2.10,"E2.1 Curricula","Percentage of affected s affected schools/learning spaces with active recreational sports education programs for boys and girls","Schools/learning spaces with active recreational sports education programs for boys and girls","Total number of affected schools/learning spaces","by geographic location ( ie administrative boundary)  and school type (sex/primary, secondary, tertiary)",,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"Number of affected schools/learning spaces with active recreational sports education programs for boys and girls",,"C3 Protection and services monitoring and coordination, C4.1 Return/ Relocation/ Integration, R4 Governance, PC5 Children associated with armed forces and armed groups, PC6 Child Labour",,INEE,,"Specific to Country","Baseline, Outcome, Output","Schools/Learning Spaces",Facility
Education,E-3-1,"E3.2 Recruitment and Selection","Percentage of affected teachers teaching in affected area","Teachers teaching in affected area","Total # number of affected teachers","by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"# of affected teachers teaching",,"R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children",,INEE,,"Specific to Country","Outcome, Output","Education Personnel",Individual
Education,E-3-2,"E3.2 Recruitment and Selection","Ratio of affected teachers teaching in affected area","Teacher Ratio in affected area.  Knowing the existing ration of female and male teachers could help identify imbalances which could help inform the recruitment and selection process.  Note target will depend on pre-crisis data. Please refer to the FODs where available.","# affected Male Teachers teaching","by geographic location ( ie administrative boundary)  and school level (primary, secondary, tertiary), sex",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"# of affected  Female Teachers teaching",,"R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children",,INEE,,"Specific to Country","Baseline, Outcome","Education Personnel",Individual
Education,E-3-3,"E3.2 Recruitment and Selection","Number of new teachers required for affected area","Number of new teachers required",n/a,"Geography( ie. Administrative boundary), sex and school level (ECD/ primary/ secondary/ tertiary/ non formal)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"# of new teachers required for affected area",,"R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children",,INEE,,"Specific to Country","Baseline, Outcome","Education Personnel",Individual
Education,E-3-4,"E3.2 Recruitment and Selection","Number of new facilitators/volunteers/peer educators recruited for affected area","Number of other classroom staff recruited",n/a,"Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,No,,"# of new facilitators/volunteers/peer educators recruited for affected area",,"R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children",,INEE,,"Specific to Country",Output,"Education Personnel",Individual
Education,E-3-5,"E3.3 Supervision","Number and percentage of surveyed active-duty education staff who have signed the adopted code of conduct","Teachers working to code of practice","Total # of active-duty education staff who have signed the code of conduct","Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,No,,"# of active-duty education staff surveyed",,"R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children, PC9 Community-based child protection mechanisms (CBCPM), PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), PG6 Prevention Programming",,"Child Protection",,"Specific to Country","Baseline, Outcome","Education Personnel",Individual
Education,E-3-6,"E3.3 Supervision","Percentage of affected Ministry of Education Office facilities","Affected Ministry of Education office facilities are those slightly damaged, moderately damaged, and severely damaged. This indicator should breaks down damaged and/or destroyed shelter by degree of damage.","Total #  of  Education Office facilities  in affected area","Geography (ie. Administrative boundary), sex and job title, school level (ECD/ primary/ secondary/ tertiary/ non formal)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,No,,"#  of affected Education Office facilities in affected area",,"S1.1 Access, R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, PC3 Sexual violence, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children",,INEE,,"Specific to Country","Baseline, Outcome","Education Facilities",Facility
Education,E-4-1,"E4.1 Law and Policy Formulation","Percentage of MoE officials at sub-national level in emergency affected areas trained in EiE","Local MoE officials trained in EiE","# of MoE officials in emergency affected areas","Geography location ( ie. Administrative boundary), sex , Level of personnel (management, teacher)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,No,,"# of MoE officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE)",,"C3 Protection and services monitoring and coordination, R4 Governance, PC3 Sexual violence, PG6 Prevention Programming, P5 Vulnerability",,INEE,,"Specific to Country","Baseline, Outcome, Output","Public sector employee",Individual
Education,E-4-2,"E4.1 Law and Policy Formulation","Percentage of MoE officials at sub-national level in emergency affected areas attending training","Local MoE officials trained in EiE","# of MoE officials in emergency affected areas","Geography ( ie administrative boundary), sex , Level of personnel (management, teacher)",n/a,,"There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,No,,"# of MoE officials at sub-national level in emergency affected areas trained in Education in Emergencies (EIE)",,"C3 Protection and services monitoring and coordination, R4 Governance, PC3 Sexual violence, PG6 Prevention Programming, P5 Vulnerability",,INEE,,"Specific to Country","Baseline, Outcome, Output","Public sector employee",Individual
"Food Security",F-1,"F3 Food Access","Change in food consumption patterns","Can be measured by several indicatos like Food Consumption Score (FCS) And Household dietary diveristy score (HDDS). Current compared to pre-crisis. Frequency of meals, dietary diversity, increase/ decrease of certain food items.",,"Geography; Sex; Age; Disabilities; Context specific (HH, Community, Individual); Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,,"Phase 1,  Phase 2, Phase 3, Phase 4","W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklists 1 and 2, Sphere: Food security and nutrition assessment standard 1: Food security",,"Signficant Change. To be compared with pre-crisis baseline","Baseline, Outcome",Household,Household
"Food Security",F-10,"F6 Availability","Change in availability of key commodities in markets","Measuring the difference in availability of key commodities will indicate if markets are under stress at different periods of time in comparison to the baseline.",,,,,,,,,,,"R1 Economic Recovery and Livelihoods",,"LEGS Chapter 3: Initial Assessment Checklists 1 and 2",,,,"number of food commudities",Other
"Food Security",F-11,"F6 Availability","Percentage of Households by duration of staple food stock","Percentage of households that have stocks of staple food to feed their family or have the capacity to access food stocks for a given duration of time.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 1,  Phase 2, Phase 3, Phase 4","(R) Early Recovery",,"LEGS Chapter 3: Initial Assessment Checklists 1 and 2",,n/a,"Baseline, Outcome",Households,Household
"Food Security",F-12,"F6.1 Food Availability and Agriculture","Change in production compared to previous year’s harvest by commodity","Comparing the last years' (normal production) with the post crisis crop production which is also an indicator that can give information on household access to income ","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",,"Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 2, Phase 3, Phase 4","(R) Early Recovery",,,,"Significant Change. To be compared with pre-crisis baseline","Baseline, Outcome",,Other
"Food Security",F-13,"F6 Availability","Percentage of Households/ communities unable to plant for next season","Share of households that are unable to restart their agricultural activities in the upcoming cropping season. To be able to farm, HHs need access to arable land, seeds, tools and other agricultural inputs. Depending on the type of crisis, one or more of these can become unavailable.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","This indicator is more precise measured as % of HH, however if this information is not available particularly in early phases of the emergency then % of communities can be used as a proxy.","Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 1,  Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods",,,,n/a,"Baseline, Outcome",,
"Food Security",F-14,"F6 Availability","Change in herd sizes","Reporting on the percentage of change to overall herd sizes (households that either lost animals because of the crisis or had to sell or slaughter their animals as an emergency measure).","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","This indicator is more precise measured as % of HH, however if this information is not available particularly in early phases of the emergency then % of communities can be used as a proxy.","Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 1,  Phase 2, Phase 3, Phase 4",,,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS: Veterinary Support Standard 1: Assessment and planning",,n/a,"Baseline, Outcome",Household,
"Food Security",F-15,"F6 Availability","Number of reported animal disease outbreaks","Number of animal disease outbreaks in a community or in any given geographical area.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","Need to define which HHs to be included in the denominator","Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 2, Phase 3, Phase 4","H6 Environmental Health",,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS:  Provision of Water Standard 1: Assessment and planning, LEGS: Veterinary Support Standard 1: Assessment and planning",,n/a,"Baseline, Outcome","Number (animals)",
"Food Security",F-16,"F6 Availability","Percentage of Households with suitable daily water and fodder consumption for livestock","Percentage of households that have enough suitable water and fodder available for their animals. In many contexts in may be relevant to collect the data by community.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","Need to define which HHs to be included in the denominator","Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 1,  Phase 2, Phase 3, Phase 4","W2.1 Access and Water Quantity, W2.2 Water Quality",,"LEGS Chapter 3: Initial Assessment Checklist 2, LEGS: Ensuring Feed Supplies Standard 1: Assessment and planning, LEGS:  Provision of Water Standard 1: Assessment and planning",,n/a,"Baseline, Outcome",Households,
"Food Security",F-17,"F7 Utilization","Percentage of individuals having daily access to an appropriate amount of safe water","Percentage of individuals/HHs that have daily access to an appropriate quantity  (a minimum of 15 litres per person per day of water) and quality of water, coming from an improved water source. ",,,,,,,,,,,"W2.1 Access and Water Quantity, W2.2 Water Quality",,"LEGS: Water Points Standard 1: Location of water points, LEGS: Water Point Standard 2: Water point rehabilitation and establishment, LEGS: Water Standard 1: Assessment and planning, Sphere: Water supply standard 1: Access and water quantity, Sphere: Water supply standard 2: Water quality",,,,,Individual
"Food Security",F-18,"F7 Utilization","Percentage of HHs with capacity to prepare food safely","proportion of households with capacity to prepare food safely (fuel, water, cooking utensils, food) ",,,,,,,,,,,"H6 Environmental Health, N1 Prevention and Management of Acute Malnutrition, W1.1 Hygiene items, W1.2 Hygiene Practices",,"Sphere: Food security - food transfers standard 6: Food use",,,,Households,
"Food Security",F-19,"F7 Utilization","Percentage of households that have changed intra-household food distribution","Assessing the impact of the crisis on food distribution patterns inside the HHs. The change can occur in several ways and have several degrees of severity: i.e. adults restrict consumption for children to eat, women do not eat to give food only to men (as they work) etc.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.",,"N2 Infant and Young Child Feeding",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - livelihoods standard 2: Income and employment (Key indicator 3 and Guidance Note 8)",,n/a,"Baseline, Outcome",Households,
"Food Security",F-2,"F3 Food Access","Change in food source","Change in % share of sources for obtaining food compared to baseline, which could include food purchase, food production, borrowed food, food aid, gifts, barter or wild foods.",,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,,"Phase 1,  Phase 2, Phase 3, Phase 4",,,"LEGS Chapter 3: Initial Assessment Checklist 2",,"Signficant Change. To be compared with pre-crisis baseline","Baseline, Outcome",Household,Households
"Food Security",F-3,"F3 Food Access","% change in key food & non-food commodity prices","Comparison between pre-crisis and actual prices of the main food and non-food commodities in the market.",,,,,,No,,,,,"R1 Economic Recovery and Livelihoods, W1.1 Hygiene items, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - cash and voucher transfers standard 1: Access to available goods and services, Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline)",,,,Prices,Other
"Food Security",F-4,"F3 Food Access","Coping Strategies","Can be measured by several indicatos like the reduced Coping Strategy Index, the Household Hunger Scale or similar hunger experience indicator. Also the livelihood component can be included.",,,,,,,,,,,"P5 Vulnerability, S3.2 Assistance, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security and nutrition assessment standard 1: Food security (Guidance note 8 on coping strategies), Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline), Sphere: Food security - livelihoods standards, Sphere: Food security standard 1: General food security (Guidance Note 3 on Risks associated with coping strategies)",,,,Household,Household
"Food Security",F-5,"F3 Food Access","Change in main source of income","the changes occurred to the income derived from any given sources. It is imperative to have pre-crisis information to be able to value it. Example of sources of income can include crop production, wage labour, trading, livestock, fishery, exploitation of natural resources, salary and remittances.",,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","Specify what is intended by staple food; levels / threshold will vary according to context.","Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,,"Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods, S3 Shelter-related Fuel/Energy, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security chapter, Annex 1: Food Security and livelihoods assessment checklists (baseline), Sphere: Food security - livelihoods standards",,"Signficant Change. To be compared with pre-crisis baseline","Baseline, Outcome",Household,Household
"Food Security",F-6,"F3 Food Access","Change in ability to meet survival and livelihoods protection thresholds","This indicator uses the HEA approach to determine households’ survival and livelihoods protection thresholds and with shocks, their ability to meet their needs, using their coping strategies, as per the baseline.",,,,,,,,,,,"P5 Vulnerability, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2",,,,Household,Households
"Food Security",F-7,"F3 Food Access","Expenditure patterns","Change in expenditure patterns in % terms, especially on items such as food, health, education, housing, transportation, clothing fuel and water among others..",,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)","Levels / threshold will vary according to context","Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,,"Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security - cash and voucher transfers standard 1: Access to available goods and services",,"Signficant Change. To be compared with pre-crisis baseline","Baseline, Outcome",Household,Household
"Food Security",F-8,"F3 Food Access","change in HH ownership of productive assets","Recording of the pre- and post-crises ownership of specific assets. Assets are generally classified as productive assets (if linked to a livelihood and income generating activities) and household assets.",,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,,"Phase 1,  Phase 2, Phase 3, Phase 4","(R) Early Recovery",,"LEGS Chapter 3: Initial Assessment Checklist 2, Sphere: Food security and nutrition assessment standard 1: Food security, Sphere: Food security standard 1: General food security (Guidance Note 3 on Risks associated with coping strategies)",,n/a,"Baseline, Outcome",Households,Household
"Food Security",F-9,"F3 Food Access","Change in access to functioning markets","A market is here understood as a place where people are able to buy and sell products, including food, agricultural inputs and other consumption goods. Functioning markets are characterised by the existence of competition (between sellers as well as buyers), and availability of information.",,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 1-4 of a new L3 emergency",Yes,,,,"Phase 1,  Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods, W7 Aggravating Factors",,"LEGS Chapter 3: Initial Assessment Checklist 2",,n/a,"Baseline, Outcome",Village,
"Food Security",F-Output-1,"F1 Food Assistance","Number of beneficiaries receiving food, non-food items, cash transfers and vouchers as % of planned",,,"Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,,"Phase 2, Phase 3, Phase 4","W1.1 Hygiene items, W7 Aggravating Factors",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact, SPHERE Food security and nutrition chapter",,n/a,Output,,Individual
"Food Security",F-Output-10,"F8 Agriculture and Livestock","Quantity of input items distributed, as % of planned",,,,,,,,,,,,,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact, SPHERE Food security and nutrition chapter",,,,"Agricultural inputs",Other
"Food Security",F-Output-11,"F1 Food Assistance","Number of people trained as % of planned (e.g. best nutrition practice or land conservation etc.)",,"Total planned people",,,,,,,,"Actual number of people",,"R3 Capacity Building",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,,Individual
"Food Security",F-Output-12,"F1 Food Assistance","Number of market system actors involved in emergency response",,,,,,,,,,,,,,,,,,"Traders, retailes, or other",Individual
"Food Security",F-Output-13,"F1 Food Assistance","Number of institutional sites assisted (e.g. schools, health centres), as % of planned",,,,,,,,,,,,"E1 Access and Learning Environment, R4 Governance, W7 Aggravating Factors",,,,,,"School, health centres or other",Facility
"Food Security",F-Output-2,"F1 Food Assistance","Quantity of food/value of cash/voucher received by beneficiary HH (and proportion in relation to food basket)","This indicator should express the percentage of the food needs that are covered by the ration distributed","Total planned food basket per HH","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,"Actual received by HH","Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,n/a,Output,n/a,Other
"Food Security",F-Output-3,"F1 Food Assistance","Quantity of food assistance distributed, as % of planned",,"Total quantity planned",,,,,,,,"Actual distributed",,,,,,,,"Tons, or value of cash or vouchers",Other
"Food Security",F-Output-4,"F1 Food Assistance","Total value of cash or vouchers for food and basic needs distributed, as % of planned",,"Total quantity planned",,,,,,,,"Actual distributed",,"R1 Economic Recovery and Livelihoods",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,"Value of cahs and/or vouchers",Other
"Food Security",F-Output-5,"F1 Food Assistance","Frequency of food/cash assistance to beneficiary HH (months)",,,,,,,,,,,,,,,,,,"Number of months",Other
"Food Security",F-Output-6,"F1.4 Livelihood Recovery","Total value of cash and vouchers for livelihood recovery distributed to targeted beneficiaries as % of planned",other,,,,,,,,,,,"R1 Economic Recovery and Livelihoods",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,,"Value of cash and/or vouchers"
"Food Security",F-Output-7,"F1 Food Assistance","Number of assets built, restored or maintained to targeted beneficiaries, by type and unit of measure (e.g. hectares of land where conservation activities were implemented, length and type of irrigation systems restored, hectares recovered for farming)","Title: Number of assets built, restored or maintained to targeted beneficiaries, by type and unit of measure (e.g. hectares of land where conservation activities were implemented, length and type of irrigation systems restored, hectares recovered for farming) as % of planned ",,,,,,,,,,,"R4 Governance, W7 Aggravating Factors",,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,,,"Number of assets",Other
"Food Security",F-Output-8,"F8 Agriculture and Livestock","Number of beneficiaries receiving agricultural inputs as % of planned beneficiaries","Including animals","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 2, Phase 3, Phase 4",,,"LEGS: Core Standard 6: Monitoring, Evaluation and Livelihoods Impact",,n/a,Output,Number,Individual
"Food Security",F-Output-9,"F8 Agriculture and Livestock","Germination rates/harvest quantities as % of planned","Pending Food Cluster review in 2013.","Pending Food Cluster review in 2013.","Geography; Sex; Age; Disabilities; Any other relevant criteria, such as urban/rural, community, household, religious, ethnic or political identities)",n/a,"Pending Food Cluster review in 2013.","Appropriate in phases 2-4 of a new L3 emergency",Yes,,,"Pending Food Cluster review in 2013.","Phase 2, Phase 3, Phase 4","R1 Economic Recovery and Livelihoods",,,,n/a,Output,n/a,Other
Health,H-A.1.a,"H1 General clinical services & essential trauma care","Number of functional basic health units/10 000 population","Proxy indicator of geographical accessibility, and of equity in availability of health facilities across different administrative units.","The total population for the same administrative or health area, at the same point in time","Administrative area; health area; public/private; fixed/mobile; support/no support from humanitarian organisations;","Calculation: Basic health unit is related to the lowest level of health facility at the national level. This indicator can be adjusted to measure the support provided by one or several humanitarian organisations beside the MoH: number of functional basic health units supported by humanitarian organisation/10 000 population. Interpretation: This indicator is a snapshot of the situation at a given point in time. At the pre-crisis phase, this indicator indicates the baseline availability of functional health facilities. In the early phase after a crisis occurs, this indicator will show the consequences of the crisis (decrease/reduction in availability of health facilities) when compared to pre-crisis and the needs in terms of support to health facilities. At later stages of crisis, trends in this indicator will allow to monitor the response in supporting health facilities. Limitation: this indicator measures the availability of health facilities but does not measure access to the facilities by the population nor the quality of service provided. It is therefore only a proxy for coverage.","Census of health facilities, administrative boundaries, health areas boundaries, population per administrative areas,and population per health areas should be available for crisis-prone countries, possibly as part of the COD/FOD, as a prepardness instrument; the indicator itself could be available pre-crisis.","There is a differing level of quality of data which can be collected at different phases of the emergency depending on the context, eg the data available and the systems for data collection in place before the crisis, the accessibility of the affected areas, the resources on the ground, etc...",Yes,Yes,,"The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area, at a given point in time","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies, PC1 Dangers and Injuries, PC2 Physical violence and other harmful practices, PC3 Sexual violence, PC4 Psychosocial distress and mental disorders, P2 (PG) Gender-Based Violence, PG1 Developing Referral Pathway for Survivors, P3 (PL) Housing Land and Property, PM4 Victim Assistance, P7 Documentation, (R) Early Recovery, W7 Aggravating Factors",,"Sphere: Health systems standard 1: Health service delivery (Key indicator 1)",,"1 Basic Health Unit per 10,000 population Follow-up of trends","Baseline, Output",,Facility
